Negeri,Jumlah,Melayu,Bumiputera Lain,Cina,India,Lain-lain,Bukan warganegara Malaysia
States,Total,Malay,Others Bumiputera,Chinese,Indians,Others,Non-Malaysian Citizens
 MALAYSIA,30485.2,15479.6,3672.4,6642,2012.6,267.4,2411.4
 JOHOR,3553.6,1893.1,60.9,1075.1,230.7,16.9,276.9
 KEDAH,2071.9,1569.1,5.3,263.2,143.2,19.6,71.5
 KELANTAN,1718.2,1585.9,20.9,54.4,4.8,11.5,40.7
 MELAKA,872.9,552.7,11.5,215,51.4,4.8,37.6
 NEGERI SEMBILAN,1098.4,621.9,20.7,234.3,154,4.2,63.3
 PAHANG,1623.2,1146,83.8,241.6,66.3,7.8,77.7
 PULAU PINANG,1663,692.4,7,689.6,166,4.7,103.3
 PERAK,2477.7,1314.4,72.3,713,293.3,10.5,74.2
 PERLIS,246,210.2,1.2,19.2,3.1,4.7,7.5
 SELANGOR,5874.1,3069.1,77.5,1499.4,712,41.4,474.7
 TERENGGANU,1153.5,1092.2,3.5,27.7,3,2.5,24.6
 SABAH,3543.5,268.5,1968.1,311.5,12.2,112.7,870.4
 SARAWAK,2636,616.9,1276.3,602.7,7.9,8.9,123.3
 W.P. KUALA LUMPUR,1768,729.5,21.5,684.1,163,15.2,154.7
 W.P. LABUAN,96.8,33.9,40.9,10.7,0.8,1.7,8.8
 W.P. PUTRAJAYA,88.3,83.8,0.9,0.5,0.9,0.1,2.1


http://pmr.penerangan.gov.my/index.php/info-terkini/19463-unjuran-populasi-penduduk-2015.html,,,,,,,
