BreedID,Type,BreedName,Energetic Level,Personality,Vocalize,
1,1,Affenpinscher,Regular Exercise,,,
2,1,Afghan Hound,Energetic,,,
3,1,Airedale Terrier,Regular Exercise,,,
4,1,Akbash,Calm,,,
5,1,Akita,Energetic,,,
6,1,Alaskan Malamute,Energetic,,,
7,1,American Bulldog,Regular Exercise,,,
8,1,American Eskimo Dog,Energetic,,,
9,1,American Hairless Terrier,Regular Exercise,,,
10,1,American Staffordshire Terrier,Regular Exercise,,,
11,1,American Water Spaniel,Regular Exercise,,,
12,1,Anatolian Shepherd,Regular Exercise,,,
13,1,Appenzell Mountain Dog,Needs a Lot of Activity ,,,
14,1,Australian Cattle Dog/Blue Heeler,Energetic,,,
15,1,Australian Kelpie,Energetic,,,
16,1,Australian Shepherd,Energetic,,,
17,1,Australian Terrier,Energetic,,,
18,1,Basenji,Energetic,,,
19,1,Basset Hound,Calm,,,
20,1,Beagle,Energetic,,,
21,1,Bearded Collie,Regular Exercise,,,
22,1,Beauceron,Needs a Lot of Activity ,,,
23,1,Bedlington Terrier,Energetic,,,
24,1,Belgian Shepherd Dog Sheepdog,Energetic,,,
25,1,Belgian Shepherd Laekenois,Regular Exercise,,,
26,1,Belgian Shepherd Malinois,Energetic,,,
27,1,Belgian Shepherd Tervuren,Energetic,,,
28,1,Bernese Mountain Dog,Energetic,,,
29,1,Bichon Frise,Regular Exercise,,,
30,1,Black and Tan Coonhound,Regular Exercise,,,
31,1,Black Labrador Retriever,Needs a Lot of Activity ,,,
32,1,Black Mouth Cur,Needs a Lot of Activity ,,,
33,1,Black Russian Terrier,Energetic,,,
34,1,Bloodhound,Regular Exercise,,,
35,1,Blue Lacy,Needs a Lot of Activity ,,,
36,1,Bluetick Coonhound,Energetic,,,
37,1,Boerboel,Needs a Lot of Activity ,,,
38,1,Bolognese,Calm,,,
39,1,Border Collie,Needs a Lot of Activity ,,,
40,1,Border Terrier,Regular Exercise,,,
41,1,Borzoi,Energetic,,,
42,1,Boston Terrier,Regular Exercise,,,
43,1,Bouvier des Flanders,Energetic,,,
44,1,Boxer,Energetic,,,
45,1,Boykin Spaniel,Regular Exercise,,,
46,1,Briard,Regular Exercise,,,
47,1,Brittany Spaniel,Needs a Lot of Activity ,,,
48,1,Brussels Griffon,Regular Exercise,,,
49,1,Bull Terrier,Energetic,,,
50,1,Bullmastiff,Energetic,,,
